# Constructed from biom file
#OTU ID	KarstCh1	KarstCh2	KarstCh3	KarstCh4	KarstCh5	KarstCh6	KarstCh7	KarstCh8
75bbaaa92cb646812bed56117405825a	0.0	23.0	0.0	0.0	20.0	28.0	17.0	0.0
7521b7926ec0c8fb84fb4ab2e9b4bc36	0.0	20.0	20.0	0.0	13.0	0.0	21.0	13.0
388694078a381dda199a7646a1c0d7fd	23.0	21.0	7.0	7.0	5.0	9.0	5.0	8.0
2a062693ade493d97ee874280dd00d64	0.0	85.0	0.0	0.0	0.0	0.0	0.0	0.0
c1a3635b85b734ca230d3d68d30e9c84	11.0	20.0	19.0	25.0	0.0	0.0	0.0	9.0
ff439ef3929e9309e3a2c323d784f5dd	0.0	0.0	0.0	0.0	79.0	0.0	0.0	0.0
418833b6f65abe990243e57ce5e8fb71	0.0	0.0	0.0	0.0	17.0	19.0	21.0	22.0
64f8b8c825ebd7e27b57135bcf0d6ca3	5.0	0.0	43.0	0.0	5.0	0.0	22.0	3.0
7c19937bfac93afe664979060b9a8218	5.0	13.0	20.0	7.0	6.0	0.0	19.0	6.0
9aa7b749a86761b87b5c700fae052304	31.0	0.0	15.0	29.0	0.0	0.0	0.0	0.0
97d14b89f426147854f2a181d464b00b	17.0	0.0	0.0	0.0	0.0	24.0	16.0	17.0
581cc38a3c088ae84ceab91771705ed0	0.0	0.0	0.0	0.0	73.0	0.0	0.0	0.0
6d867412ac2669f233fb413f97d48e95	24.0	17.0	3.0	8.0	4.0	4.0	0.0	9.0
63138a36e65a36419eb6ae99c7f11322	0.0	9.0	46.0	0.0	0.0	7.0	7.0	0.0
68cd8444103572a8ea0fcca21a57b450	0.0	0.0	16.0	0.0	0.0	17.0	11.0	25.0
161ae4b635f9294f23b4de5cd064ec0a	0.0	49.0	0.0	4.0	0.0	0.0	0.0	15.0
4c71d1ece5905385c065ffaea6e64abb	7.0	13.0	10.0	15.0	7.0	6.0	5.0	3.0
3e8d5eb166110823b183104b10b63319	0.0	45.0	0.0	0.0	21.0	0.0	0.0	0.0
852e7a20c366545595f5a0b755ec7a0c	0.0	11.0	10.0	10.0	9.0	7.0	8.0	11.0
eba77ce437ae40989d1f7273f4b1c544	9.0	15.0	21.0	20.0	0.0	0.0	0.0	0.0
d97927577054486f77a513070c060b06	18.0	25.0	0.0	19.0	0.0	0.0	0.0	0.0
